2010 CARTON PLAN,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
OUTBOUND,,,,,,,,,,,,,,,,
RDC,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,TTL,,,
551," 1,861,678 "," 2,439,494 "," 1,844,308 "," 1,768,223 "," 2,420,677 "," 2,061,023 "," 2,191,952 "," 2,394,568 "," 1,943,544 "," 2,410,013 "," 3,139,437 "," 1,804,643 "," 26,279,561 ",,,
553," 2,822,788 "," 3,701,231 "," 2,816,052 "," 2,699,879 "," 3,692,772 "," 3,139,819 "," 3,339,280 "," 3,766,381 "," 3,099,146 "," 3,572,201 "," 4,689,972 "," 2,765,427 "," 40,104,947 ",,,
554," 1,876,594 "," 2,456,583 "," 1,856,315 "," 1,779,735 "," 2,438,442 "," 2,066,587 "," 2,226,801 "," 2,443,719 "," 1,981,903 "," 2,465,950 "," 3,198,201 "," 1,841,819 "," 26,632,647 ",,,
555," 3,093,670 "," 4,049,815 "," 3,082,767 "," 2,955,591 "," 4,068,467 "," 3,472,659 "," 3,713,454 "," 4,211,490 "," 3,459,978 "," 4,003,451 "," 5,244,880 "," 3,092,429 "," 44,448,650 ",,,
556," 2,061,449 "," 2,698,571 "," 2,042,347 "," 1,958,093 "," 2,682,453 "," 2,276,056 "," 2,420,645 "," 2,641,681 "," 2,146,527 "," 2,661,715 "," 3,467,320 "," 1,993,120 "," 29,049,975 ",,,
557," 2,816,042 "," 3,698,945 "," 2,803,877 "," 2,688,206 "," 3,680,703 "," 3,127,346 "," 3,326,014 "," 3,634,483 "," 2,960,631 "," 3,671,211 "," 4,782,354 "," 2,749,041 "," 39,938,853 ",,,
558," 2,058,085 "," 2,694,166 "," 2,035,845 "," 1,951,858 "," 2,668,142 "," 2,254,797 "," 2,398,036 "," 2,613,235 "," 2,121,024 "," 2,630,090 "," 3,426,123 "," 1,969,439 "," 28,820,839 ",,,
559," 2,164,372 "," 2,833,304 "," 2,142,786 "," 2,054,388 "," 2,850,413 "," 2,384,521 "," 2,554,085 "," 2,780,545 "," 2,258,967 "," 2,801,013 "," 3,646,151 "," 2,097,542 "," 30,568,088 ",,,
560," 2,782,095 "," 3,656,152 "," 2,760,665 "," 2,646,777 "," 3,624,929 "," 3,080,656 "," 3,311,010 "," 3,644,885 "," 2,974,868 "," 3,698,890 "," 4,801,521 "," 2,764,127 "," 39,746,576 ",,,
578," 2,808,736 "," 3,676,818 "," 2,778,384 "," 2,663,765 "," 3,641,302 "," 3,083,099 "," 3,278,956 "," 3,576,983 "," 2,906,552 "," 3,604,153 "," 4,694,999 "," 2,698,827 "," 39,412,576 ",,,
579," 2,791,177 "," 3,653,833 "," 2,765,027 "," 2,650,958 "," 3,691,979 "," 3,086,461 "," 3,341,454 "," 3,654,380 "," 2,973,170 "," 3,695,130 "," 4,794,810 "," 2,762,311 "," 39,860,691 ",,,
580," 2,289,049 "," 2,996,514 "," 2,264,313 "," 2,170,902 "," 2,969,214 "," 2,510,400 "," 2,669,876 "," 2,914,535 "," 2,367,683 "," 2,935,950 "," 3,824,556 "," 2,198,470 "," 32,111,462 ",,,
587," 2,002,858 "," 2,621,871 "," 1,981,215 "," 1,899,482 "," 2,596,545 "," 2,194,292 "," 2,333,687 "," 2,543,111 "," 2,064,109 "," 2,559,515 "," 3,334,187 "," 1,916,591 "," 28,047,464 ",,,
588," 2,202,696 "," 2,883,472 "," 2,178,893 "," 2,089,005 "," 2,855,619 "," 2,413,231 "," 2,566,534 "," 2,796,854 "," 2,270,058 "," 2,814,894 "," 3,666,860 "," 2,107,821 "," 30,845,937 ",,,
589," 2,391,808 "," 3,131,032 "," 2,369,775 "," 2,272,012 "," 3,105,785 "," 2,634,293 "," 2,829,647 "," 3,102,881 "," 2,519,158 "," 3,131,883 "," 4,066,139 "," 2,340,627 "," 33,895,040 ",,,
590," 2,337,577 "," 3,063,665 "," 2,316,510 "," 2,220,945 "," 3,039,255 "," 2,579,776 "," 2,743,659 "," 2,991,910 "," 2,428,374 "," 3,011,208 "," 3,922,591 "," 2,254,823 "," 32,910,293 ",,,
593," 2,322,348 "," 3,039,995 "," 2,298,804 "," 2,207,621 "," 3,025,355 "," 2,565,864 "," 2,781,815 "," 3,141,489 "," 2,547,565 "," 2,960,583 "," 3,856,645 "," 2,279,303 "," 33,027,387 ",,,
594," 2,071,090 "," 2,711,192 "," 2,048,710 "," 1,964,192 "," 2,687,081 "," 2,273,867 "," 2,418,317 "," 2,636,832 "," 2,143,523 "," 2,657,989 "," 3,462,466 "," 1,990,330 "," 29,065,588 ",,,
3801," 1,872,112 "," 2,450,717 "," 1,851,882 "," 1,775,485 "," 2,427,044 "," 2,051,050 "," 2,181,345 "," 2,381,166 "," 1,935,301 "," 2,399,792 "," 3,126,122 "," 1,796,989 "," 26,249,004 ",,,
3802," 2,460,074 "," 3,223,114 "," 2,438,191 "," 2,337,606 "," 3,267,221 "," 2,738,226 "," 2,941,453 "," 3,200,977 "," 2,612,298 "," 3,239,069 "," 4,215,165 "," 2,425,633 "," 35,099,028 ",,,
3803," 1,915,172 "," 2,507,084 "," 1,894,476 "," 1,816,321 "," 2,482,867 "," 2,098,225 "," 2,259,524 "," 2,478,832 "," 2,010,451 "," 2,501,082 "," 3,244,418 "," 1,868,277 "," 27,076,728 ",,,
3804," 1,931,510 "," 2,528,472 "," 1,912,672 "," 1,833,766 "," 2,506,714 "," 2,120,531 "," 2,255,240 "," 2,460,676 "," 2,000,524 "," 2,480,669 "," 3,231,477 "," 1,857,550 "," 27,119,800 ",,,
3806," 2,537,971 "," 3,333,717 "," 2,531,951 "," 2,427,498 "," 3,331,006 "," 2,831,992 "," 3,011,897 "," 3,386,757 "," 2,787,654 "," 3,230,021 "," 4,238,270 "," 2,494,464 "," 36,143,198 ",,,
3808," 1,673,003 "," 2,190,069 "," 1,670,164 "," 1,601,263 "," 2,188,887 "," 1,863,134 "," 1,981,491 "," 2,160,591 "," 1,758,553 "," 2,180,623 "," 2,840,619 "," 1,632,873 "," 23,741,272 ",,,
3809," 1,763,560 "," 2,310,861 "," 1,756,242 "," 1,683,790 "," 2,362,456 "," 1,970,311 "," 2,118,082 "," 2,312,418 "," 1,883,527 "," 2,335,432 "," 3,038,999 "," 1,748,939 "," 25,284,618 ",,,
3811," 1,763,174 "," 2,308,109 "," 1,744,121 "," 1,672,169 "," 2,285,814 "," 1,931,699 "," 2,054,412 "," 2,238,775 "," 1,817,094 "," 2,253,215 "," 2,935,181 "," 1,687,231 "," 24,690,994 ",,,
TTL," 58,670,689 "," 76,858,796 "," 58,186,293 "," 55,789,532 "," 76,591,141 "," 64,809,914 "," 69,248,665 "," 76,110,154 "," 61,972,180 "," 75,905,742 "," 98,889,464 "," 57,138,646 "," 830,171,216 ",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
INBOUND,,,,,,,,,,,,,,,,
RDC,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,TTL,,,
551," 2,062,739 "," 2,729,793 "," 2,113,577 "," 2,017,543 "," 2,783,779 "," 2,353,689 "," 2,299,358 "," 2,703,468 "," 2,305,043 "," 2,713,675 "," 2,951,071 "," 1,990,521 "," 29,024,255 ",,,
553," 3,127,649 "," 4,141,677 "," 3,227,196 "," 3,080,562 "," 4,246,687 "," 3,585,674 "," 3,502,905 "," 4,252,244 "," 3,675,587 "," 4,022,299 "," 4,408,574 "," 3,050,266 "," 44,321,318 ",,,
554," 2,079,266 "," 2,748,917 "," 2,127,337 "," 2,030,678 "," 2,804,208 "," 2,360,042 "," 2,335,914 "," 2,758,959 "," 2,350,537 "," 2,776,659 "," 3,006,309 "," 2,031,526 "," 29,410,351 ",,,
555," 3,427,786 "," 4,531,743 "," 3,532,851 "," 3,372,329 "," 4,678,737 "," 3,965,776 "," 3,895,413 "," 4,754,772 "," 4,103,534 "," 4,507,885 "," 4,930,188 "," 3,410,949 "," 49,111,963 ",,,
556," 2,284,086 "," 3,019,701 "," 2,340,530 "," 2,234,184 "," 3,084,821 "," 2,599,256 "," 2,539,256 "," 2,982,458 "," 2,545,781 "," 2,997,091 "," 3,259,280 "," 2,198,411 "," 32,084,854 ",,,
557," 3,120,175 "," 4,139,119 "," 3,213,243 "," 3,067,243 "," 4,232,808 "," 3,571,429 "," 3,488,989 "," 4,103,331 "," 3,511,308 "," 4,133,784 "," 4,495,412 "," 3,032,192 "," 44,109,035 ",,,
558," 2,280,358 "," 3,014,772 "," 2,333,078 "," 2,227,070 "," 3,068,363 "," 2,574,978 "," 2,515,540 "," 2,950,342 "," 2,515,534 "," 2,961,482 "," 3,220,556 "," 2,172,291 "," 31,834,364 ",,,
559," 2,398,124 "," 3,170,467 "," 2,455,633 "," 2,344,057 "," 3,277,975 "," 2,723,124 "," 2,679,235 "," 3,139,235 "," 2,679,134 "," 3,153,941 "," 3,427,382 "," 2,313,589 "," 33,761,896 ",,,
560," 3,082,562 "," 4,091,235 "," 3,163,722 "," 3,019,972 "," 4,168,669 "," 3,518,110 "," 3,473,249 "," 4,115,076 "," 3,528,193 "," 4,164,951 "," 4,513,429 "," 3,048,832 "," 43,887,998 ",,,
578," 3,112,080 "," 4,114,359 "," 3,184,029 "," 3,039,356 "," 4,187,497 "," 3,520,899 "," 3,439,625 "," 4,038,414 "," 3,447,171 "," 4,058,276 "," 4,413,299 "," 2,976,806 "," 43,531,812 ",,,
579," 3,092,625 "," 4,088,639 "," 3,168,720 "," 3,024,744 "," 4,245,776 "," 3,524,739 "," 3,505,185 "," 4,125,795 "," 3,526,180 "," 4,160,716 "," 4,507,121 "," 3,046,829 "," 44,017,069 ",,,
580," 2,536,267 "," 3,353,099 "," 2,594,903 "," 2,476,999 "," 3,414,596 "," 2,866,876 "," 2,800,699 "," 3,290,510 "," 2,808,072 "," 3,305,880 "," 3,595,083 "," 2,424,912 "," 35,467,897 ",,,
587," 2,219,167 "," 2,933,874 "," 2,270,472 "," 2,167,309 "," 2,986,027 "," 2,505,882 "," 2,448,038 "," 2,871,173 "," 2,448,033 "," 2,882,014 "," 3,134,136 "," 2,114,000 "," 30,980,124 ",,,
588," 2,440,587 "," 3,226,605 "," 2,497,012 "," 2,383,555 "," 3,283,962 "," 2,755,910 "," 2,692,294 "," 3,157,648 "," 2,692,288 "," 3,169,570 "," 3,446,849 "," 2,324,927 "," 34,071,207 ",,,
589," 2,650,123 "," 3,503,625 "," 2,715,762 "," 2,592,366 "," 3,571,653 "," 3,008,363 "," 2,968,299 "," 3,503,152 "," 2,987,721 "," 3,526,500 "," 3,822,171 "," 2,581,712 "," 37,431,448 ",,,
590," 2,590,036 "," 3,428,241 "," 2,654,721 "," 2,534,099 "," 3,495,143 "," 2,946,104 "," 2,878,098 "," 3,377,866 "," 2,880,052 "," 3,390,620 "," 3,687,236 "," 2,487,070 "," 36,349,285 ",,,
593," 2,573,161 "," 3,401,755 "," 2,634,430 "," 2,518,896 "," 3,479,158 "," 2,930,216 "," 2,918,124 "," 3,546,742 "," 3,021,412 "," 3,333,616 "," 3,625,246 "," 2,514,071 "," 36,496,827 ",,,
594," 2,294,768 "," 3,033,824 "," 2,347,821 "," 2,241,144 "," 3,090,144 "," 2,596,756 "," 2,536,814 "," 2,976,983 "," 2,542,218 "," 2,992,895 "," 3,254,718 "," 2,195,333 "," 32,103,418 ",,,
3801," 2,074,300 "," 2,742,352 "," 2,122,257 "," 2,025,828 "," 2,791,100 "," 2,342,299 "," 2,288,231 "," 2,688,337 "," 2,295,267 "," 2,702,166 "," 2,938,555 "," 1,982,079 "," 28,992,770 ",,,
3802," 2,725,762 "," 3,606,664 "," 2,794,167 "," 2,667,209 "," 3,757,305 "," 3,127,054 "," 3,085,584 "," 3,613,903 "," 3,098,186 "," 3,647,192 "," 3,962,255 "," 2,675,474 "," 38,760,754 ",,,
3803," 2,122,010 "," 2,805,427 "," 2,171,069 "," 2,072,423 "," 2,855,297 "," 2,396,173 "," 2,370,240 "," 2,798,601 "," 2,384,395 "," 2,816,219 "," 3,049,753 "," 2,060,710 "," 29,902,316 ",,,
3804," 2,140,113 "," 2,829,360 "," 2,191,922 "," 2,092,328 "," 2,882,721 "," 2,421,646 "," 2,365,746 "," 2,778,103 "," 2,372,621 "," 2,793,233 "," 3,037,589 "," 2,048,878 "," 29,954,259 ",,,
3806," 2,812,072 "," 3,730,430 "," 2,901,616 "," 2,769,775 "," 3,830,657 "," 3,234,135 "," 3,159,480 "," 3,823,649 "," 3,306,157 "," 3,637,004 "," 3,983,973 "," 2,751,394 "," 39,940,341 ",,,
3808," 1,853,687 "," 2,450,688 "," 1,914,008 "," 1,827,041 "," 2,517,220 "," 2,127,699 "," 2,078,585 "," 2,439,307 "," 2,085,644 "," 2,455,382 "," 2,670,182 "," 1,801,059 "," 26,220,502 ",,,
3809," 1,954,024 "," 2,585,854 "," 2,012,654 "," 1,921,205 "," 2,716,824 "," 2,250,095 "," 2,221,869 "," 2,610,720 "," 2,233,863 "," 2,629,697 "," 2,856,659 "," 1,929,079 "," 27,922,542 ",,,
3811," 1,953,597 "," 2,582,774 "," 1,998,762 "," 1,907,945 "," 2,628,686 "," 2,206,000 "," 2,155,078 "," 2,527,577 "," 2,155,074 "," 2,537,120 "," 2,759,071 "," 1,861,015 "," 27,272,699 ",,,
TTL," 65,007,124 "," 86,004,993 "," 66,681,492 "," 63,655,856 "," 88,079,812 "," 74,012,922 "," 72,641,849 "," 85,928,364 "," 73,499,006 "," 85,469,865 "," 92,956,096 "," 63,023,926 "," 916,961,305 ",,,
